Id,Description,FamilyMember,ConflictingEntity,Source1,Date1,Source2,Date2,Source3,Date3,Category,Notes,DateAddedOrEdited
616,Reports from Argentina newspaper La Nacion Trump asked President Mauricio Macri about a building project there.,Donald Trump,,La Nacion,20-Nov-16,,,,,potential,,5-Jul-17
617,Fundraiser for post-inauguration meeting with President and hunting trip cancelled,Donald Trump,,Center for Public Integrity,21-Dec-16,,,,,resolved,,5-Jul-17
618,Removed lobbyists from transition team,Donald Trump,,Fox News,16-Nov-16,,,,,resolved,,5-Jul-17
619,Trump Organization announced accords with unions at two hotels,Donald Trump,,New York Times,21-Dec-16,,,,,resolved,,5-Jul-17
620,Trump Organization to go before planning board in Ireland over seawall for Trump International Golf Links. (Organization reportedly dropped seawall from plans.),Donald Trump,,New York Times,26-Nov-16,Politico,6-Dec-16,,,resolved,,5-Jul-17
621,Former member/manager of the now-inactive Busy Boys Investments LLC.,Donald Trump Jr.,Busy Boys Investments LLC,Florida Division of Corporations,28-Jun-17,,,,,resolved,"Because this company is reportedly inactive, the potential conflict has been marked as ""resolved."" ",5-Jul-17
622,"Former Executive Director of Global Branding and Networking at Cambridge Who's Who, a vanity branding and global networking service widely accused of deceptive marketing.",Donald Trump Jr.,Cambridge Who's Who,PR Newsire,19-Apr-10,New York Times,26-Jun-16,,,resolved,,5-Jul-17
623,Donald Trump Jr. is a minority investor in the Charleston Naval Hospital.,Donald Trump Jr.,Charleston Naval Hospital,The Post and Courier,11-Apr-15,,,,,active,,5-Jul-17
624,"Spokesman for MacroSolve, a Tulsa-based mobile application developer accused of operating as a patent troll. The company dissolved into Drone Aviation in 2014 — roughly two years before Michael Flynn, Pres. Trump's short-lived National Security Advisor, resigned as vice-chairman to take the cabinet position.",Donald Trump Jr.,MacroSolve,Jacksonville Daily Record,27-Mar-17,Tulsa World,12/23/2014,GigaOm,11-Oct-11,resolved,,5-Jul-17
625,"At one point, Donald Trump Jr. was named a senior advisor to SG Blocks Inc., a firm the promotes the repurposing of shipping containers to be used as construction materials. It is unclear whether he is still associated with the firm.",Donald Trump Jr.,SG Blocks Inc.,PR Web,30-Aug-12,,,,,potential,,5-Jul-17
626,"Donald Trump Jr. is ""strongly involved"" in the Eric Trump Foundation.",Donald Trump Jr.,The Eric Trump Foundation,The Trump Organization,undated,,,,,active,,5-Jul-17
627,"As a founding investor in the short-lived Titan Atlas Manufacturing, Donald Trump Jr. and two business partners personally guaranteed a $3.65 million loan from Deutsche Bank. Before it came due, his father purchased the loan through the newly created D B Pace Acquisition. The senior Trump promptly foreclosed, accepting the value of the property as his payment. Titan Atlas Manufacturing reportedly left ""a trail of litigation, unpaid bills and unpaid taxes"" in its wake. It was a successort to the similarly named Titan Atlast Global, which also failed.",Donald Trump Jr.,Titan Atlas Manufacturing,The Post and Courier,18-Jan-16,,,,,potential,"This connection's potential for conflict of interest is marked as ""unclear"" because we do not yet know if any pending litigation remains. ",5-Jul-17
628,Chairman and president,Eric Trump,The Eric Trump Foundation,The Foundation Center,11-Nov-15,,,,,active,,5-Jul-17
629,Eric Trump to stop soliciting money for charity,Eric Trump,,New York Times,21-Dec-16,,,,,resolved,,5-Jul-17
630,"In December 2016, Ivanka Trump was said to be ""nearing a licensing deal"" with the Japanese apparel company Sanei International, whose parent company TSI Holdings Co. is majority-owned by the Development Bank of Japan. The deal was reportedly two years in the making. Yet in January 2017, Ivanka Trump's company reportedly reversed direction, ""after learning that Sanei's parent company had ties to the government of Japan,"" according to a May 17 letter from her company, IT Operations. Ivanka Trump took an official adviser position with the White House in March 2017; she had already resigned her positions from the company, though she retained ownership through a trust.",Ivanka Trump,Sanei International,New York Times,4-Dec-16,CNN Money,12-Jun-17,Japan Times,14-Jun-17,resolved,,5-Jul-17
631,"Ivanka Trump's business partner or licensee, Madison Avenue Diamonds, operates Ivanka Trump Fine Jewelry. The company has been served with multiple tax liens for non-payment of taxes on her jewelry store at Trump Tower.",Ivanka Trump,,New York Times,4-Dec-16,Forbes,23-Feb-17,,,active,,5-Jul-17
632,Ivanka Trump’s company hawks a bracelet after 60 minutes interviews,Ivanka Trump,,Fortune,16-Nov-16,,,,,active,,5-Jul-17
633,Ivanka Trump joins Jared Kushner to chase a Chinese hotel deal.,Ivanka Trump,,New York Times,7-Jan-17,,,,,active,,5-Jul-17
634,Ivanka Trump sits in on meeting with Japanese PM Shinzo Abe,Ivanka Trump,,New York Times,18-Nov-16,,,,,active,,5-Jul-17
635,Ivanka Trump joined President Mauricio Macri congratulatory phone call with her father,Ivanka Trump,,The Hill ,21-Nov-16,,,,,active,,5-Jul-17
636,Charity auction to have coffee with Ivanka Trump closed,Ivanka Trump,,New York Times,16-Dec-16,,,,,resolved,,5-Jul-17
637,"board member and investor in 42Floors, a commercial real estate listings database, with his brother Joshua Kushner of the venture capital firm Thrive.",Jared Kushner,42Floors,42Floors blog,16-Nov-12,42Floors investor list,27-Jun-16,,,active,,5-Jul-17
638,"Broadband Proliferation Partners LLC does business as WiredScore. In April 2017, he was reported to be in talks to sell his stake in the company to a group of investors that includes the Los Angeles-based Fifth Wall Ventures.",Jared Kushner,Broadband Proliferation Partners LLC,Boston Globe,11-Sep-15,,,,,active,,5-Jul-17
639,"Investor in Cadre, a real estate investment firm backed by Jared Kushner's brother Joshua's venture capital firm Thrive Capital. Cadre also has attracted such high-profile investors as Peter Thiel's Founders Fund, Goldman Sachs, Alibaba founder Jack Ma. George Soros’ Soros Fund Management has reportedly extended to Cadre a significant credit line.",Jared Kushner,Cadre,Business Insider,23-Jun-16,Cadre,28-Jun-17,The Real Deal,27-Jan-17,active,,5-Jul-17
640,"Former board member of Global Gateway Alliance, a 501(c)(4) organization that advocates for infrastructure improvements in New York City.",Jared Kushner,Global Gateway Alliance,Bloomberg,9-Jan-17,,,,,resolved,,5-Jul-17
641,"Investor in Honest Buildings Inc. and board member on behalf of Thrive Capital, his brother Joshua's venture capital firm, which was a major backer of the startup.",Jared Kushner,HonestBuildings Inc.,The Real Deal,3-Jun-15,National Real Estate Investor,10-Dec-13,,,active,,5-Jul-17
642,"Investor in Hot Potato, a social media agency that was acquired by Facebook in 2010 for approximately $10 million, and promptly shut down.",Jared Kushner,Hot Potato,crunchbase,9-Nov-09,TechCrunch,20-Aug-10,,,resolved,,5-Jul-17
643,"Board member, advisor of Internet Week New York.",Jared Kushner,Internet Week New York,"Internet Week New York, via Web Archive",21-May-17,,,,,active,,5-Jul-17
644,Ownership interest in investment firm JCK Cadre Inc.,Jared Kushner,JCK Cadre Inc.,The Real Deal,2-May-17,,,,,active,,5-Jul-17
645,"Investor in Jibe (f/k/a localbacon) with his brother Joshua, through Launch Capital and Zelkova Ventures.",Jared Kushner,Jibe (f/k/a localbacon),Tech Crunch,22-May-10,Jibe,22-Mar-10,,,active,,5-Jul-17
646,Investor in Kickstarter.,Jared Kushner,Kickstarter,NY Magazine,14-Mar-13,,,,,active,,5-Jul-17
647,"Kushner owns New York Luxury Publishing, through which he bankrolled the socialite magazine Scene in 2012-2013. Kushner was sued in 2016 for infringing on a competitor's brand, but a judge tossed out the suit for technical reasons in 2017. ",Jared Kushner,New York Luxury Publishing,Class Action Review,3-May-17,TMZ,30-Nov-16,New York Times,1-Mar-12,potential,,5-Jul-17
648,"Kushner steps down from publisher role in Observer Media Group, but his ownership stake remains unclear. ",Jared Kushner,Observer Media,Business Insider,7-Jan-17,,,,,active,,5-Jul-17
649,"Jared Kushner's brother Joshua Kushner founded Oscar Health, which sells individual health insurance under the Affordable Care Act — which Pres. Trump has vowed to repeal and replace. ",Jared Kushner,Oscar Health,New York Times,13-Jan-17,,,,,active,,5-Jul-17
650,"Quadro Parnters Inc. owns at least a 75 percent stake in RealCadre LLC, which does business as the online investment firm Cadre. Jared Kushner's company JCK Cadre LLC owns 25 to 50 percent of Quadro Partners. ",Jared Kushner,Quadro Parnters Inc.,The Real Deal,2-May-17,,,,,active,,5-Jul-17
651,"RealCadre LLC does business as Cadre, the online investment platform. (See listing for Cadre.) Jared Kushner owns a stake in RealCadre Inc. through Quadro Partners. ",Jared Kushner,RealCadre LLC,The Real Deal,2-May-17,,,,,active,,5-Jul-17
652,Kushner is loaned/given $50 million by Rob Speyer to seal a real estate deal. ,Jared Kushner,Rob Speyer,New York Magazine,1-Feb-09,,,,,active,,5-Jul-17
653,"Kushner is a director of the Seryl Charles Kushner Family Foundation Inc., through which his family channels its philanthropy — mainly support for Jewish institutions in the US and Israel, as well as education and health.",Jared Kushner,Seryl Charles Kushner Family Foundation Inc.,IRS Form 990,12-Nov-15,Inside Philanthropy,undated,,,active,,5-Jul-17
654,"Involved through investment and board representation with Thrive Capital, a venture capital firm founded by his brother Joshua Kushner. The firm claims prominent investments — Kickstarter and Slack among them. ",Jared Kushner,Thrive Capital,Forbes,10-Apr-17,,,,,active,,5-Jul-17
655,"Kushner is an investor and board member of Urban Compass, in which Jared Kushner's brother Joshua Kushner also backed through his venture capital firm Thrive Capital.",Jared Kushner,Urban Compass,The Real Deal,25-Nov-14,Kushner Companies,18-Nov-16,,,active,,5-Jul-17
656,"Kushner is co-founder of WiredScore, a business that rates the Internet connections of commerical buildings in the US, France and the UK. Kushner reportedly conceived of the service in conjunction with New York City's Economic Development Corp., which launched the project as an initiative of Mayor Michael Bloomberg's administration. The project then was named WiredNYC, though it directed to the same website the private firm now controls. In April 2017, he was reported to be in talks to sell his stake in the company (through Broadband Proliferation Partners LLC) to a group of investors that includes the Los Angeles-based Fifth Wall Ventures.",Jared Kushner,WiredScore,Market Watch,16-Apr-17,The Real Deal,3-Oct-13,WiredNYC,1-Oct-13,active,,5-Jul-17
657,"To resolve conflict of interest concerns, Kushner sells his shares of many assets — to his brother and mother. His father remains remains closely involved in Kushner Companies.",Jared Kushner,,Bloomberg,27-Jan-17,,,,,active,,5-Jul-17
658,Partners in Brooklyn redevelopment projects.,Jared Kushner,,New York Magazine,8-Jan-17,,,,,active,,5-Jul-17
659,Kushner woos Chinese hotel developer. ,Jared Kushner,,New York Times,7-Jan-17,,,,,active,,5-Jul-17
